2014-10-28 22:00:41,194 [9] DEBUG QTShell.Log4NetLoggerAdapter Logger was created successfully.
2014-10-28 22:00:41,214 [9] DEBUG QTShell.Log4NetLoggerAdapter Creating module catalog.
2014-10-28 22:00:41,216 [9] DEBUG QTShell.Log4NetLoggerAdapter Configuring module catalog.
2014-10-28 22:00:41,277 [9] DEBUG QTShell.Log4NetLoggerAdapter Creating Unity container.
2014-10-28 22:00:41,449 [9] DEBUG QTShell.Log4NetLoggerAdapter Configuring the Unity container.
2014-10-28 22:00:41,650 [9] DEBUG QTShell.Log4NetLoggerAdapter Adding UnityBootstrapperExtension to container.
2014-10-28 22:00:42,006 [9] DEBUG QTShell.Log4NetLoggerAdapter Configuring ServiceLocator singleton.
2014-10-28 22:00:42,007 [9] DEBUG QTShell.Log4NetLoggerAdapter Configuring region adapters.
2014-10-28 22:00:42,025 [9] DEBUG QTShell.Log4NetLoggerAdapter Configuring default region behaviors.
2014-10-28 22:00:42,027 [9] DEBUG QTShell.Log4NetLoggerAdapter Registering Framework Exception Types.
2014-10-28 22:00:42,028 [9] DEBUG QTShell.Log4NetLoggerAdapter Creating the shell.
2014-10-28 22:00:42,133 [9] DEBUG QTShell.Log4NetLoggerAdapter Setting the RegionManager.
2014-10-28 22:00:42,135 [9] DEBUG QTShell.Log4NetLoggerAdapter Updating Regions.
2014-10-28 22:00:42,180 [9] DEBUG QTShell.Log4NetLoggerAdapter Initializing the shell.
2014-10-28 22:00:42,289 [9] DEBUG QTShell.Log4NetLoggerAdapter Initializing modules.
2014-10-28 22:00:42,461 [9] INFO  QTShell.Log4NetLoggerAdapter Module ModuleOrderAndPositions Loaded
2014-10-28 22:00:42,606 [9] INFO  QTShell.Log4NetLoggerAdapter Module RealTimeQuoteGrid Loaded
2014-10-28 22:00:42,706 [9] INFO  QTShell.Log4NetLoggerAdapter Module ModuleStrategyManager Loaded
2014-10-28 22:00:42,878 [9] INFO  QTShell.Log4NetLoggerAdapter Module ModuleOrderTicket Loaded
2014-10-28 22:00:43,083 [9] INFO  QTShell.Log4NetLoggerAdapter Module ModuleFramework Loaded
2014-10-28 22:00:43,129 [14] INFO  QTShell.Log4NetLoggerAdapter Account: DU15037
2014-10-28 22:00:43,129 [9] INFO  QTShell.Log4NetLoggerAdapter Server Version: 71
2014-10-28 22:00:43,130 [14] INFO  QTShell.Log4NetLoggerAdapter Next Valid Order Id: 25
2014-10-28 22:00:43,131 [14] INFO  QTShell.Log4NetLoggerAdapter requestId = -1; Error code = 2104; Error Message = Market data farm connection is OK:ibdemo
2014-10-28 22:00:43,132 [14] INFO  QTShell.Log4NetLoggerAdapter requestId = -1; Error code = 2106; Error Message = HMDS data farm connection is OK:demohmds
2014-10-28 22:01:06,610 [9] DEBUG QTShell.Log4NetLoggerAdapter Bootstrapper sequence completed.
2014-10-28 22:01:15,623 [14] INFO  QTShell.Log4NetLoggerAdapter requestId = 49; Error code = 200; Error Message = No security definition has been found for the request
2014-10-28 22:01:15,623 [14] INFO  QTShell.Log4NetLoggerAdapter requestId = 52; Error code = 200; Error Message = No security definition has been found for the request
2014-10-28 22:01:15,626 [14] INFO  QTShell.Log4NetLoggerAdapter requestId = 67; Error code = 200; Error Message = No security definition has been found for the request
